ACL	权限控制点，包括url，url分组，以及页面功能
ACL_CARD	
ACL_GROUP	
ACL_GROUP_AUTHORIZATION	
ACL_OPERATE_LOG	
ACL_USER	后台登录用户
ACTIVE_USER_MIGRATE	
ACTIVITY	
ACTIVITY_AWARD_CONFIG	
ACTIVITY_CONFIG	
ACTIVITY_DOUBLEBOX_LOG	
ACTIVITY_LOG	
ACTIVITY_MMCRANKING	
ACTIVITY_RESULT	活動結果資料表
ACTIVITY_SHEEP_BIG_LITTLE	
ACTIVITY_SHEEP_DETAIL	
ACTIVITY_SHEEP_HONG_BAO	
ACTIVITY_SHEEP_HONG_BAO_0326	
ACTIVITY_SHEEP_HONG_BAO_BACK	
ACTIVITY_SHEEP_OPERATE	
ACTIVITY_SHEEP_WHEEL_SURF	
ACTIVITY_SIGN_UP	活動共用報名表
ACTIVITY_USER_AWARD_LOG	
ACTIVITY_USER_CHARGE	活动用户充值投注金额记录表
ACTIVITY_VIP_APPLICATION	
ACTIVITY_WHITELIST	
AD	广告
AD_ADSPACE_RELATION	
AD_NOTICE 公告	
AD_NOTICE_PAGE	
AD_PAGE	
AD_PARAM	
AD_SPACE	广告位
AD_TOPIC	专题
AD_TOPIC_CATEGORY	专题类别
BEGIN_AWARD	
BEGIN_AWARD_LOG	
BEGIN_AWARD_LOTTERY	
BEGIN_BANK_CARD_CHECK	
BEGIN_LOTTERY_SET	
BEGIN_MISSION	
BEGIN_MISSION_TASK_LOG	
BEGIN_MISSION_VER	
BEGIN_NEW_CHARGE	
BEGIN_NEW_DAYBET	
BEGIN_NEW_DAYQUES	
BEGIN_NEW_LOG	
BEGIN_NEW_MISSION	
BEGIN_NEW_QUESTION	
BEGIN_NEW_TOLBET	
BYPASS_CONFIG	
CHANNEL	
CHANNEL_LOG	
CONFIG	
FUND	
FUND_BANK	银行信息
FUND_CHANGE_LOG	
FUND_CHANGE_LOG_FOR_AGENT	
FUND_CHANGE_LOG_HIST	
FUND_CHANGE_LOG_REPORT	
FUND_CHARGE	用户充值
FUND_CHARGE_APPEAL	
FUND_CHARGE_BYPASS_WHITELIST	
FUND_CHARGE_EXCEPTION	
FUND_CHARGE_SN_CHONGFU	
FUND_MANUAL_DEPOSIT	
